time_submitted,review,rating,author_account_name,reply
2022-12-12 06:06:15,Good,5,Wyatt Martin,
2022-12-12 06:01:03,Love the music,5,Shelia Johnson,
2022-12-12 06:00:07,🎊💥💥🍾💫❤️,5,Lawrance Abhi,
2022-12-12 05:59:52,About to cancel my plan and delete this app as the music always stops playing and have to restart my phone,1,Cassandra Staples,
2022-12-12 05:59:42,I love that I always can find what I like whether its obscure or not. Drop down lyrics/Artist page is great too.,5,Jennifer Ferguson,
2022-12-12 05:58:56,"Great, amazing, everyone should have this app. This is the auto trxt but i agree :)",5,Zackary Goertzen,
2022-12-12 05:58:27,Nice job,5,Peter Ramos,
2022-12-12 05:57:52,Perfect app. Perfect music.,5,Михаил Танев (Mihail Tanev),
2022-12-12 05:56:21,"I have been using Spotify and I don't like it ..................I LOVE IT .It is a great place to listen to music,podcast and so on, try it u will love it.❤",5,Munachimso Iyke-Dim,
2022-12-12 05:54:46,Previous issue of control bar seems to have been corrected overall. But i am having issues with Playlists only playing 1 song and freezing or the app crashing and unable to control music with the app or shortcut remote. Cache reset and memory clearing only work until the app is closed the next time or phone is locked.,2,J R,
2022-12-12 05:54:26,This app😘😘😘,5,Niraj Verma,
2022-12-12 05:53:35,"The worst music app ever, can't even skip songssss",1,Sahil Lasane,
2022-12-12 05:53:07,"I miss Spotify. Recently my songs will just cut out at random. I tried uninstalling and reinstalling, but that only helped for a couple days and it's a pain downloading my playlists each time. I wonder if it's some kind of memory leak or something. Hope it gets resolved quickly.",5,Scott Smith,
2022-12-12 05:50:30,Good soup,5,Alyssa,
2022-12-12 05:46:58,I 💕 it . it's 😍😍😍😍,5,Xoxo Maybe,
2022-12-12 05:46:30,"I used to love this app, but ever since the most recent update everytime I try to play a playlist it doesn't play I have tried everything please press helpful if this has happened to you too I also try to play a song and It gave me I think 5 ads back to back I think ima swich back to SoundCloud because this is insane",1,Gabriela Perez,
2022-12-12 05:45:39,"This app is pretty bad ,because if I make a playlist of songs about 30min it starts playing songs I never added. And there is a bug when I enter Spotify and press on a playlist I played yesterday then it doesn't play and it only plays when I click on another one. And when I search for a song it doesn't let me listen to what song I add only on computer",3,Deimux Ruk,
2022-12-12 05:44:26,Spotify is the home of music❤️❤️❤️,5,Edward Githaiga,
2022-12-12 05:44:06,Too many ads Do something 'bout it,3,Parismita Saikia,
2022-12-12 05:42:35,"I waited for wrapped for 1 year. I was so excited for this but this app disappointed me so much. My spotify wrapped isn’t showing up. Please do sth.I'm crying rn😭.I literally waited so long😭😭😭😭 Please fix this,please",1,Sara,
2022-12-12 05:42:32,"It's nice to listen to music, except you never get to, because you're bombarded with like 3-5 30 seconds to 1 minute adds every 5 songs.",2,Ethan Whitacre,
2022-12-12 05:41:16,Nice app,5,Tejas Patel,
2022-12-12 05:39:38,What is age restriction on this app 😁 disgusting,1,Noman asghar,
