time_submitted,review,rating,author_account_name,reply
2022-11-02 18:13:20,Не могу понять где моя музыка который ВКонтакте был и ещё не могу добавит артистов не сохраняется .,3,Петр Хадаров,"Напишите, пожалуйста, о вашей проблеме в поддержку. Для этого откройте настройки приложения →«Помощь» или перейдите по ссылке: vk.cc/ma."
2022-11-02 18:11:22,Топ,5,Миста 4444,"Спасибо ваша поддержка мотивирует нас и вдохновляет на то, что бы делать приложение еще лучше!"
2022-11-02 18:10:13,"Сделайте так, чтобы можно было посмотреть музыки своих групп",4,Rishat Vaziev,"Спасибо, возьмём на заметку. ВКонтакте быстро развивается, каждый месяц появляются новые возможности. Всё внедрить не обещаем и сроков назвать не можем, но мы всегда рады предложениям."
2022-11-02 17:59:47,Не работает без интернета. Вранье.,1,Liliya Karshgalieva,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 17:48:18,"Качество звука очень нравится! Да и пользоваться удобно приложением! Главное не вылетает и не лагает! Отлично, спасибо разработчикам!",5,Юлия Туманова,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 17:37:27,Почему я не могу слушать музыку я купил у вас подписку до конца года вы в рекламе говорили что это бесплатно??? А прошёл месяц и вы сменя простите деньги за следующий месяц и за первый бесплатный уже взяли?,1,Alexandr Chesniy,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 17:36:37,помню как оно называлось BOOM 😌,5,Милана Фалькевич,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 17:23:54,Лучшее приложение для прослушивания музыки🙌🏻,5,Александр Терехов,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 16:36:26,Оцениваю на четыре звёзды патомушто я не скачивал песни я не мог их слушать,4,Вадим Курышкин,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 16:30:18,Лагает до невыносимости.,1,Chrome my,"Напишите, пожалуйста, о вашей проблеме в поддержку. Для этого откройте настройки приложения → «Помощь» или перейдите по ссылке: vk.cc/mi."
2022-11-02 16:05:32,"Решил попробовать, поскольку в Яндекс музыке многих треков просто нет. Привзял карту, списали рубль. Включил музон, заблочил экран. Музыка вырубилась. Ограничено фоновое прослушивание. Повторил процедуру трижды, не помогло. 3 рубля не жалко, работало бы. Upd. Спустя минут 10 заработало без проблем. Перенёс плейлисты из Яндекса, буду тестить, потом дополню, если не забуду. Пока вроде всё ок.",4,sergey sinyavskiy,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 15:59:55,"Очень удобно,практично и просто классно ! Рекомендую.",5,Арсений Скачков,"Спасибо за ваши тёплые слова, мы будем и дальше стараться, чтобы наше приложение радовало вас больше."
2022-11-02 15:47:01,"Купил подписку, списался 1 рубль, а подписки нет, приложение отвратительное",1,Александр Максимов,"Напишите, пожалуйста, о вашей проблеме в поддержку. Для этого откройте настройки приложения →«Помощь» или перейдите по ссылке: vk.cc/ma."
2022-11-02 15:46:46,Удобное в использование и практически без рекламы!!),5,WebMoney,Спасибо за 5 звёзд!
2022-11-02 15:44:24,"Приложение плохо стало работать, песни на 4г интернете иногда не сразу включаются",3,ШИZ,"Спасибо, что рассказали о проблеме. Нам очень жаль, что она доставила вам неприятности. Чтобы как можно скорее помочь вам, нужно провести диагностику проблемы на вашем устройстве. Для этого напишите нам, пожалуйста, по ссылке: vk.cc/ma. В сообщении подробно опишите ситуацию, это поможет нам решить ваш вопрос."
2022-11-02 15:21:05,"Лучшее приложение для музыки, и все найдёшь да и память не за бьёшь",5,Роман Орлов,Благодарим за отзыв!
2022-11-02 15:05:27,"Согласен с отзывом ниже. Уже как несколько месяцев не могу синхронизировать треки - приложение новых просто не видит. При этом, через приложение я даже добавить ничего не могу, ни то что скачать (ошибка и всё тут). При выходе из приложения всё время слетает путь загрузки, а на SD приложение просто не качает (остальные приложения нормально скачивают на SD). Техподдержка предложила переустановить приложение - ничего не сработало. До этого всё было ок... SONY XPERIA 1III Написал я вам уже в 3 раз.",1,Станислав Колемесин,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 15:02:21,"Хотел оформить подписку до конца года бесплатную, в итоге привязал карту 3 раза по 1 рублю, подписка так и не включилась, конченное приложение",1,Mekrush,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 14:28:28,"Оформил подписку, но в фоновом режиме всё равно не играет",1,Альфред Жаминев,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 14:13:19,Оплатил два раза и не работает в режиме офлаин,1,Илья Илюха,"В настройках приложения нажмите на «Выйти из аккаунта» и авторизуйтесь ещё раз. Если проблема не исчезнет, напишите, пожалуйста, в поддержку. Для этого откройте настройки приложения → «Помощь» или перейдите по ссылке: vk.cc/ma."
2022-11-02 13:06:18,Норм,5,Roman Marukyan,Благодарим за отзыв!
2022-11-02 12:53:58,Норм,5,Бархаtt Records,Спасибо за 5 звёзд!
2022-11-02 12:37:33,Классное приложение,5,Влад,Спасибо за ваш отзыв! Именно ваши слова помогают нам улучшать приложение.
2022-11-02 12:13:33,Да вы просто диббилы,5,Uzumaki Boruto,Спасибо за Ваш отзыв! Улыбаемся вместе с Вами!
2022-11-02 12:06:48,Отличное приложение для музыки 🔥✅️🤙,5,Xxx Ddd,Спасибо за ваш отзыв!
2022-11-02 11:53:49,Удобно,5,Wolf,Спасибо за ваш отзыв!
2022-11-02 11:05:44,до сих пор ничего не исправили.,1,assava,"Напишите, пожалуйста, о вашей проблеме в поддержку. Для этого откройте настройки приложения →«Помощь» или перейдите по ссылке: vk.cc/ma."
2022-11-02 10:52:46,"Видит не все треки из плейлиста в вк, устанавливал по новой приложение, не чего не изменилось.",2,The GrizzlY,"Понимаем, это неприятно. Но к сожалению, через интерфейс отзывов нам с вами будет сложно решить проблему: нужно провести диагностику. Чтобы мы могли помочь, напишите, пожалуйста, в Поддержку и подробно расскажите о том, что случилось. Это можно сделать по ссылке: vk.cc/ma."
2022-11-02 10:37:07,"Глючит и тормозит.Потом где альбомы исполнителя в хронологическом порядке???Качество хорошее звука.И потом зачем вместо музыки я должен делится вашим приложением.Я понимаю деньги не пахнут.И испохабить можно любую идею.Ну не улучшайте что и так прекрасно И незагромождайте не нужным программным мусором.Эргономичность ,убобство ,интуитивность.Самое главное.И совершенный продукт не нуждается в инструкцииОн сам инструкция сразу,без дополнительных пояснений.И что вы творите с контекстным поиском.?",2,Олег Орехов,"Спасибо, что рассказали о проблеме. Нам очень жаль, что она доставила вам неприятности. Чтобы как можно скорее помочь вам, нужно провести диагностику проблемы на вашем устройстве. Для этого напишите нам, пожалуйста, по ссылке: vk.cc/sg. В сообщении подробно опишите ситуацию, это поможет нам решить ваш вопрос."
2022-11-02 10:36:53,Слушаю музуку и я -1₽,5,дима Синицин,Спасибо за 5 звёзд!
2022-11-02 09:35:22,"Не вижу смысла в приложении. Что в вк, что в вк музыка требуется подписка для фонового прослушивания, все остальное из вк музыка есть в вк. Короче, по мне так, просто это приложение забивает память в телефоне и всё.",1,Анастасия Швырёва,"Слушать музыку без подписки можно, если не сворачивать приложение и не блокировать экран. В это время можно просматривать новостную ленту или общаться с друзьями. Ограничения снимаются с помощью подписки, которая позволит также скачивать треки в приложении ВКонтакте и слушать их без интернета."
2022-11-02 09:31:45,"Приложение прикасное, но разработчики пожалуйста зделайте подписку дешевле тогда приложение будет идеально.",4,Мила,"Спасибо, возьмём на заметку. ВКонтакте быстро развивается, каждый месяц появляются новые возможности. Всё внедрить не обещаем и сроков назвать не можем, но мы всегда рады предложениям."
