time_submitted,review,rating,author_account_name,reply
2020-10-21 07:10:03,Very bad,1,Elvin A,Why? 🥺
2020-10-21 06:24:05,"Кайф! Просьба разработчикам - сделайте пожалуйста возможность прослушивать плейлист в обратном порядке. Когда слушаю подкаст, то первые выпуски становятся последними треками в плейлисте. А хочется слушать последовательным потоком с самых старых треков к новым.",5,Асхат Сергазин,"Попробуйте, пожалуйста, зайти в подкаст, справа будет кнопка сортировки (три полоски), нажмите на неё → «Сначала старые». Подумаем, как реализовать такую возможность и для плейлистов 👌 Хорошего вам дня и отличного настроения!"
2020-10-20 18:07:36,"Очень хороший вариант для музыки. Много артистов, очень много музыки, от Jazz до Hip-hop. Very good music.",5,Alexander Skhiri,Спасибо за поддержку и доверие! Нам приятно это слышать 💖
2020-10-20 17:09:25,Like it,5,Инара Абжанова,Thank you so much 🙌✨
2020-10-20 11:24:09,Оче хороший радиоприемник!,5,Ilia Baryshnikov,Стараемся 🧡🙌
2020-10-20 09:10:59,Сразу заставляют купить подписку..,1,Alexey Zhdanov,"Бесплатное прослушивание сейчас ограничено, но мы не хотим, чтобы вы унывали, поэтому предлагаем попробовать бесплатный период 🎁 Воспользуйтесь им и расскажите нам о своих впечатлениях!"
2020-10-20 05:17:23,Add lyrics please.,5,Siarhei Kizer,"We provide music in the form in which we received it from the copyright holder 😊 If you notice that there are not enough texts somewhere, you can write the names of tracks and albums using the feedback form: ""Collection"" → click on the gear icon at the top of the menu → ""Write to developers"", and we will try to add!"
2020-10-19 11:21:51,"Опять скачанные треки недоступны оффлайн! Так происходит каждый месяц в день оплаты подписки Плюс. Вы можете проводить платеж хотя бы на день раньше, чтобы не было разрыва в подписке?",1,Aleksey Yablokov,"Пожалуйста, свяжитесь с нами через форму обратной связи. Чтобы найти её в приложении, нажмите на значок шестерёнки в верхней строчке меню в разделе «Коллекция» → «Написать разработчикам» → выберите подходящую тему обращения. Это поможет нам получить полезную техническую информацию и поскорее помочь вам."
2020-10-19 10:58:41,Наконец-то появилась возможность добавлять треки в очередь. Осталось только добавить возможность передвигать треки в очереди и плейлистах.,5,It's Me,"Хорошая идея, спасибо! Кстати, все интересные пожелания мы собираем в одном месте. Это специальный сайт, куда можно записать свою идею для сервиса и получить поддержку от других пользователей. У популярных фичреквестов выше шанс оказаться реализованными ✌️ Заглядывайте на https://yandexmusic.userecho.com"
2020-10-19 02:44:40,Is not available in México :(,2,Saúl Pérez,Thanks for the feedback! We will try to take it into account in further work on the application.
2020-10-18 18:54:59,с android 11 часто не появляется в шторке и приходится заходить в приложение чтобы перемотать. pixel3a,3,Algorit mika,"Пожалуйста, свяжитесь с нами через форму обратной связи. Чтобы найти её в приложении, нажмите на значок шестерёнки в верхней строчке меню в разделе «Коллекция» → «Написать разработчикам» → выберите подходящую тему обращения. Это поможет нам получить полезную техническую информацию и поскорее помочь вам."
2020-10-17 15:22:24,Make this app available in Google Auto,4,Akmal Khodjanov,Thanks for your feedback! We will try to please you in the future.
2020-10-17 10:21:02,Немножко неудобный интерфейс. Самые важные кнопки надо искать. Неудобно добавлять трек в плейлист. Надо бы хорошо доработать основное окно и навигацию. Первая загрузка довольно долгая. В общем приложение очень даже хорошо сделано. Устройство: Xiaomi Redmi Note 4x,3,Aslan Dzhumaev,"Спасибо за отзыв! А ещё вы можете оставить свои идеи по развитию сервиса вот здесь — yandexmusic.userecho.com. Это место, где мы собираем классные предложения от наших пользователей. От их популярности зависит возможность реализации той или иной функции. Так что не забывайте голосовать и за понравившиеся предложения других пользователей 😊"
2020-10-17 03:33:20,"Есть некоторые недостатки у платной версии, но, в целом, я довольна. Особенно меня радует, что подписка распространяется на все сервисы яндекса. Это одна из основных причин, почему яндекс, а не что-то другое.",5,Анна Ким,"Анна, рады, что вы оценили нашу экосистему ❤️ Если возникают какие-то проблемы или вопросы — мы всегда здесь и готовы помочь 💪 Хороших выходных!"
2020-10-17 02:09:39,"Оплатила подписку через сайт и там все работает, а через мобильное приложение предлагает мне подписаться и оплатить хотя почта та же. Что делать? Из тех поддержки не отвечают. Кажется зря подписалась((",2,m lim,"Давайте вместе разберёмся, не расстраивайтесь! Напишите в наш чат поддержки на сайте: нажмите на иконку вашего профиля и в выпадающем меню выберите «Чат поддержки». Постараемся поскорее помочь вам!"
2020-10-17 00:28:48,Simply Amazing,5,Adel Fairooz,Thanks ❤️
2020-10-16 12:53:12,"Все супер, не хватает только поддержки андроид авто",5,Yerden Kembayev,Спасибо за отзыв! Постараемся порадовать вас в будущем 🙂
2020-10-15 17:29:39,"Хорошая музыка в хорошем качестве, за подписку я могу скачивать музыку, но не все мои любимые песни тут есть, поэтому 4/5",4,alina lavender,"Спасибо за такие приятные слова ❤️ Напишите нам, пожалуйста, какие треки вы не нашли на нашем сервисе, а мы постараемся их добавить 💪 Можете написать здесь или через форму обратной связи: «Коллекция» → нажмите на значок шестерёнки в верхней строчке меню → «Написать разработчикам». Рады, что вы с нами!"
2020-10-15 12:00:22,"Здравствуйте уважаемая команда Яндекс музыки. Я провёл с Вами 2 года (дважды с годовой подпиской) с замечательной музыкой, удобным интерфейсом и релевантными подборками! Но в Яндекс Музыка приложении есть один недостаток, из-за которого я принимаю решение отказаться от Ваших услуг и воспользоваться предложениями ваших конкурентов, у которых этот недостаток отсутствует. Итак: у меня дома установлена не самая худшая Hi-Fi система с цифровым ресивером (с интернет радио, DLNA и т.д.). Я получаю удовольствие, слушая музыку через эту систему. Вот все эти 2 года, проведенные с Вами, я бился над тем, чтоб транслировать Яндекс музыку на звуковую систему через DLNA с моего Android смартфона: покупал спец программы для потоковой трансляции и т.д., но всё работало очень нестабильно и по сути обнаружилось, что нет толковой возможности слушать Яндекс, кроме как через непосредственное подключение шнурка от телефона к ресиверу, но это знаете ли прошлый век и очень неудобно. Да, в айфонах возможность такой трансляции уже встроена в саму операционную систему, но покупать айфон, чтоб слушать Яндекс музыку, принципиально не хочу. За сим, позвольте откланяться - если доработаете приложение, думаю, что снова буду вашим клиентом. Всего доброго... P.S. Сходил на ваш сайт замечаний и предложений и вижу что мой вопрос поднят другими уже давно, но вы никак не реагируете и ничего не отвечаете... Вижу что я поступил правильно.",2,Aliaksandr Shchuchenka,"Александр, очень жаль, что вы приняли такое решение. У нас и правда пока что нет такой функции, но мы постоянно развиваемся и пробуем новое, поэтому возможность реализации данного улучшения не отрицаем. Желаем вам всего самого лучшего на вашем новом пути, но надеемся, что однажды снова увидим вас в наших рядах 😊 Спасибо за крутые два года 🧡"
2020-10-15 08:18:07,"Перестало работать без подписки. Это конечно замечательно, но скажите, пожалуйста, зачем мне подписка на аккаунте Гугл, который не имеет никакой истории моих треков? Т.е. я не могу пользоваться своим основным аккаунтом яндекс слушая ту музыку, которую отметил как понравившуюся.",1,Al Wi,"Напишите нам, пожалуйста, через форму обратной связи на нашем сайте https://music.yandex.ru Для этого пролистайте страницу до конца и нажмите кнопку «Справка». В левом меню выберите пункт «Служба поддержки», а затем подходящую тему обращения. Уточним насчёт этого."
2020-10-14 23:21:12,"Its all about trends not your preferences. It doesn't give a s""""t about what you prefer not to see at home page even with paid subscription. Customization doesn't exist in this service. Upd. Yes, it adapts. But if I dont want any podcasts on my list? If I want to hide all things I don't need I cannot do this. Instead of ads the service keeps recommending or showing me things I don't need. I cannot block every track in every genre I don't listen to and you know this.",1,Alex McFly,"All your actions, such as likes, dislikes, adding tracks to playlists or, conversely, skipping tracks, form music recommendations. Artificial intelligence adapts to you and creates your perfect playlist for every day."
2020-10-14 16:19:16,interior design is not good😶 it so simple,3,Elgün Məhərrəmov,"Can you tell us in more detail what exactly you found incomplete? Please write to us from the app using the feedback form: ""Collection"" → click on the gear icon at the top of the menu → ""Write to developers"" → select a topic and describe everything in detail."
2020-10-14 14:13:35,"Generally, app is good. But it can be even better if there is a control view on lock screen)",4,Bekhruz Nuraliev,Thanks for the feedback! We will try to take it into account in further work on the application.
2020-10-14 10:38:30,"Это скорее 4 с минусом, так как очень не хватает возможности делиться песнями внутри предложения с друзьями. Чтобы отправить трек кому-то, нужно это делать через ссылку или через инстаграм. Зачем? Где логика? Неизвестно. В общем очень неудобно. А еще в приложении нет друзей, чтобы можно было слушать их станции тоже.",4,A Google user,"Забрали пожелание, спасибо! Кстати, все интересные предложения мы собираем в одном месте. Это специальный сайт, куда можно записать свою идею для сервиса и получить поддержку от других пользователей. От их популярности зависит вероятность воплощения в жизнь. Заглядывайте на https://yandexmusic.userecho.com"
2020-10-13 21:49:22,"Почему в браузере есть эквалайзер, а в приложении - нет? Когда уже добавят?!",4,Арсений Трубников,"Спасибо за пожелание, записали к себе! Сейчас наше приложение использует системный эквалайзер устройства. Если у вас его нет, можете загрузить из Google Play. Тогда в настройках приложения появится соответствующий пункт."
2020-10-13 16:22:07,"To be honest, I liked that application specifically playlist of the day part!",5,Ulfan Aliyev,✨❤️✨
2020-10-13 08:36:57,"Никогда не работает продолжение музыки после завершения альбома или плейлиста. Пиксель 4, Андройд 11.",3,Daniel A,"Нам нужно получить техническую информацию (логи устройства). Отправить их несложно, они прикрепятся к письму, если вы напишете через форму обратной связи в приложении. Чтобы это сделать, нажмите на значок шестерёнки в верхней строчке меню в разделе «Коллекция» → «Написать разработчикам». Это поможет нам выявить ошибку и разобраться в ситуации."
2020-10-11 23:31:57,"Кнопка share in stories? Яндекс, за что? Вы окей?",1,Ruslan Akchurin,"Мы подумали, что будет весело, если вы сможете делиться с друзьями своими любимыми треками 👉👈"
2020-10-11 17:07:28,Ужасно.,1,Dikosha Kasenova,"Очень жаль это слышать. Скажите, у вас возникли какие-то проблемы с нашим приложением? Пожалуйста, напишите нам из приложения через форму обратной связи: «Коллекция» → нажмите на значок шестерёнки в верхней строчке меню → «Написать разработчикам» → выберите тему и распишите всё подробно. Мы подхватим письмо и поможем во всём разобраться!"
2020-10-11 08:34:47,my main music app,5,Антон Аппоротов,my main music app
2020-10-10 19:16:40,Please add speed control,4,Vahram Kobelyan,Thanks for the feedback! We will try to take it into account in further work on the application.
2020-10-10 18:44:13,Could be much better. Interface is not intuitive at all. No way to automatically download say Playlist of the day. Also app does not work with Android Auto.,3,Vasia Lachinov,"Tell us more about what you didn't understand intuitively in the app interface, you can tell us here: ""collection"" → click on the gear icon in the top menu bar → ""write to developers"". In addition, the playlist of the day is formed based on your preferences, and you can manage it by listening to more music and marking it as your favorite."
2020-10-10 18:28:46,Great app. 👍👍👍,5,Akanimo Akwa,Thanks a lot 🧡
2020-10-10 07:34:25,Really good recommendation system,5,Артём Белоусов,Thank you 😊
